id;sentiment_priemer;Specific type;Title;Author;Author id;text;Created;Added to system;Context;Link to the source;Domain;Sentiment;Sentiment points;Domain group;quality points;Tag;Keywords;Gender;Project name;field20;influenceScore;comments;views;shares;wow;love;like;haha;sad;angry;thankful;uniqueVievs;fans;retweet;favs;hearts;likes;dislikes;followers;Geolocation;Language;Country;Rating;Thread ID;text_cleaned;tokenizator
twitter_1244941541111730176;-1;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;ZPOŽDĚNÍ autobusové linky č. 19 ze zastávky Holice (12:47) - Tabulový vrch (13:21) cca 15 minut.;31.03.2020 12:56;01.04.2020 5:51;;https://twitter.com/DPMO_official/statuses/1244941541111730176;twitter.com;NEUTRAL;0;Twitter;;;;u;Olmík;;3;0;0;;0;0;0;0;0;0;0;;;0;0;;;;159;;cs;cz;;twitter_1244941541111730176;ZPOZDENI autobusove linky c. 19 ze zastavky Holice (12:47) - Tabulovy vrch (13:21) cca 15 minut.;zpozdeni, autobusove, linky, ze, zastavky, holice, tabulovy, vrch, cca, minut
twitter_1245026835018252290;-1;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;Opatření FN Olomouc, které se týká cestujících 🚌 linkou č. 42, platné od 1. 4. 2020. https://pic.twitter.com/zi6gIyGFuL;31.03.2020 18:35;01.04.2020 9:11;;https://twitter.com/DPMO_official/statuses/1245026835018252290;twitter.com;NEUTRAL;0;Twitter;;;;u;Olmík;;3;0;0;;0;0;0;0;0;0;0;;;1;0;;;;165;;cs;cz;;twitter_1245026835018252290;Opatreni FN Olomouc, ktere se tyka cestujicich 🚌 linkou c. 42, platne od 1. 4. 2020. https://pic.twitter.com/zi6gIyGFuL;opatreni, fn, olomouc, ktere, se, tyka, cestujicich, linkou, platne, od
twitter_1245251941434884096;1;Tweet;;MartinLastuvkaCT (@MartinLastuvka);9,21458E+17;Tohle není apríl. Od 1. dubna se v @mesto_OLOMOUC zdražuje jízdné v autobusech a tramvajích. Nově zaplatí lidé za krátkodobou jízdenku 18 korun, ještě včera to bylo 14. Naopak celoroční jízdenka je o 250 Kč levnější. @DPMO_official https://pic.twitter.com/owqggVWxKz;01.04.2020 9:29;01.04.2020 13:21;;https://twitter.com/MartinLastuvka/statuses/1245251941434884096;twitter.com;NEGATIVE;-8;Twitter;;;@DPMO_official;u;Olmík;;4;0;0;;0;0;0;0;0;0;0;;;0;1;;;;203;;cs;cz;;twitter_1245251941434884096;Tohle neni april. Od 1. dubna se v @mesto_OLOMOUC zdrazuje jizdne v autobusech a tramvajich. Nove zaplati lide za kratkodobou jizdenku 18 korun, jeste vcera to bylo 14. Naopak celorocni jizdenka je o 250 Kc levnejsi. @DPMO_official https://pic.twitter.com/owqggVWxKz;tohle, neni, april, od, dubna, se, mesto, olomouc, zdrazuje, jizdne, autobusech, tramvajich, nove, zaplati, lide, za, kratkodobou, jizdenku, korun, jeste, vcera, to, bylo, naopak, celorocni, jizdenka, je, kc, levnejsi, dpmo, official
twitter_1245321364589944832;1;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;Od 1. 4. 2020 nasazujeme do provozu až do odvolání nové 🚋🚋 a 🚌🚌 DPMO. https://pic.twitter.com/MrbNf4TJLp;01.04.2020 14:05;01.04.2020 17:32;;https://twitter.com/DPMO_official/statuses/1245321364589944832;twitter.com;NEUTRAL;0;Twitter;;;;u;Olmík;;5;0;0;;0;0;0;0;0;0;0;;;16;58;;;;179;;cs;cz;;twitter_1245321364589944832;Od 1. 4. 2020 nasazujeme do provozu az do odvolani nove 🚋🚋 a 🚌🚌 DPMO. https://pic.twitter.com/MrbNf4TJLp;od, nasazujeme, do, provozu, az, do, odvolani, nove, dpmo
twitter_1245660401221550080;2;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;"Jsme v tom společně💪
Dnešním dnem vysíláme na LCD obrazovkách ve 🚋🚌 MHD následující dva spoty - Jsme v tom společně a Pomoc sousedům. Prvním ze spotů je video @PolicieCZ.
V současnosti je důležité sledovat a dodržovat aktuální nařízení a doporučené postupy. 👍 https://pic.twitter.com/ZtaHQLeT5W";02.04.2020 12:32;02.04.2020 23:28;;https://twitter.com/DPMO_official/statuses/1245660401221550080;twitter.com;POSITIVE;9;Twitter;;;;u;Olmík;;3;0;0;;0;0;0;0;0;0;0;;;0;1;;;;163;;cs;cz;;twitter_1245660401221550080;"Jsme v tom spolecne💪
Dnesnim dnem vysilame na LCD obrazovkach ve 🚋🚌 MHD nasledujici dva spoty - Jsme v tom spolecne a Pomoc sousedum. Prvnim ze spotu je video @PolicieCZ.
V soucasnosti je dulezite sledovat a dodrzovat aktualni narizeni a doporucene postupy. 👍 https://pic.twitter.com/ZtaHQLeT5W";jsme, tom, spolecne, dnesnim, dnem, vysilame, na, lcd, obrazovkach, ve, mhd, nasledujici, dva, spoty, jsme, tom, spolecne, pomoc, sousedum, prvnim, ze, spotu, je, video, policiecz, soucasnosti, je, dulezite, sledovat, dodrzovat, aktualni, narizeni, doporucene, postupy
twitter_1245660955804971008;3;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;"Jsme v tom společně💪Dnešním dnem vysíláme na LCD obrazovkách ve 🚋🚋🚌🚌 MHD následující spot⤵️
A co vy? Chcete také pomoci seniorům, kteří bydlí ve vašem paneláku, ulici, čtvrti, jen nevíte, jak na to? Výborně, navštivte http://www.pomocsousedum.cz a zaregistrujte se. Děkujeme😊 https://pic.twitter.com/4w8JD8qGxE";02.04.2020 12:34;02.04.2020 18:38;;https://twitter.com/DPMO_official/statuses/1245660955804971008;twitter.com;POSITIVE;15;Twitter;;;;u;Olmík;;3;0;0;;0;0;0;0;0;0;0;;;1;0;;;;166;;cs;cz;;twitter_1245660955804971008;"Jsme v tom spolecne💪Dnesnim dnem vysilame na LCD obrazovkach ve 🚋🚋🚌🚌 MHD nasledujici spot⤵️
A co vy? Chcete take pomoci seniorum, kteri bydli ve vasem panelaku, ulici, ctvrti, jen nevite, jak na to? Vyborne, navstivte http://www.pomocsousedum.cz a zaregistrujte se. Dekujeme😊 https://pic.twitter.com/4w8JD8qGxE";jsme, tom, spolecnednesnim, dnem, vysilame, na, lcd, obrazovkach, ve, mhd, nasledujici, spot, co, vy, chcete, take, pomoci, seniorum, kteri, bydli, ve, vasem, panelaku, ulici, ctvrti, jen, nevite, jak, na, to, vyborne, navstivte, zaregistrujte, se, dekujeme
twitter_1245711021374951429;1;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;"Nový automat na jízdenky v přednádražním prostoru 😍. Možnost platit jak 💵tak i 💳👍.
‼️ Jedná se o testovací provoz, kdy může dojít k situaci, že bude dočasně mimo provoz z důvodu zjištění technické závady‼️ https://pic.twitter.com/BvE3vsigbn";02.04.2020 15:53;02.04.2020 20:42;;https://twitter.com/DPMO_official/statuses/1245711021374951429;twitter.com;NEUTRAL;0;Twitter;;;;u;Olmík;;3;0;0;;0;0;0;0;0;0;0;;;1;1;;;;166;;cs;cz;;twitter_1245711021374951429;"Novy automat na jizdenky v prednadraznim prostoru 😍. Moznost platit jak 💵tak i 💳👍.
‼️ Jedna se o testovaci provoz, kdy muze dojit k situaci, ze bude docasne mimo provoz z duvodu zjisteni technicke zavady‼️ https://pic.twitter.com/BvE3vsigbn";novy, automat, na, jizdenky, prednadraznim, prostoru, moznost, platit, jak, tak, jedna, se, testovaci, provoz, kdy, muze, dojit, situaci, ze, bude, docasne, mimo, provoz, duvodu, zjisteni, technicke, zavady
twitter_1246014432142069762;2;Tweet;;DPMO - Dopravní podnik města Olomouce, a. s. (@DPMO_official);9,9194E+17;"Tipnete si, jaký je mezi 🚋🚋 věkový rozdíl? 🤔

#svamipocelyzivot #dpmo #olomouc #tramvaje #tramvaj #evo #trio #krasky #vek #rozdil https://pic.twitter.com/kVEa8J4o6g";03.04.2020 11:59;03.04.2020 23:27;;https://twitter.com/DPMO_official/statuses/1246014432142069762;twitter.com;NEUTRAL;0;Twitter;;;;u;Olmík;;4;0;0;;0;0;0;0;0;0;0;;;0;5;;;;166;;cs;cz;;twitter_1246014432142069762;"Tipnete si, jaky je mezi 🚋🚋 vekovy rozdil? 🤔

#svamipocelyzivot #dpmo #olomouc #tramvaje #tramvaj #evo #trio #krasky #vek #rozdil https://pic.twitter.com/kVEa8J4o6g";tipnete, si, jaky, je, mezi, vekovy, rozdil, svamipocelyzivot, dpmo, olomouc, tramvaje, tramvaj, evo, trio, krasky, vek, rozdil
twitter_1247195843695960068;2;Tweet;;Přerovská MHD (@PrerovskaMHD);3729516916;@DPMO_official A kde je jako Inekon? To by pak byla těžší volba, jelikož se mi zamlouvá jak Inekon, tak LTM Astra.;06.04.2020 18:13;07.04.2020 11:40;reply_1247159716565811202;https://twitter.com/PrerovskaMHD/statuses/1247195843695960068;twitter.com;NEUTRAL;0;Twitter;;;@DPMO_official;u;Olmík;;2;0;0;;0;0;0;0;0;0;0;;;0;0;;;;58;;cs;cz;;twitter_1247159716565811202;@DPMO_official A kde je jako Inekon? To by pak byla tezsi volba, jelikoz se mi zamlouva jak Inekon, tak LTM Astra.;dpmo, official, kde, je, jako, inekon, to, by, pak, byla, tezsi, volba, jelikoz, se, mi, zamlouva, jak, inekon, tak, ltm, astra
twitter_1247533008292204545;1;Tweet;;Viktor Lankaš (@ViktorLankas);1,2392E+18;"@DPMO_official U Rybářského stavu, Za Poštou, Andělská, Smetanovy sady, Pekárny a U Zlaté koule.
Skvěle koncipovaná hádanka.";07.04.2020 16:33;07.04.2020 21:16;reply_1247518104671772676;https://twitter.com/ViktorLankas/statuses/1247533008292204545;twitter.com;POSITIVE;6;Twitter;;;@DPMO_official;m;Olmík;;1;0;0;;0;0;0;0;0;0;0;;;0;0;;;;3;;cs;;;twitter_1247518104671772676;"@DPMO_official U Rybarskeho stavu, Za Postou, Andelska, Smetanovy sady, Pekarny a U Zlate koule.
Skvele koncipovana hadanka.";dpmo, official, rybarskeho, stavu, za, postou, andelska, smetanovy, sady, pekarny, zlate, koule, skvele, koncipovana, hadanka
