id;sentiment_priemer;Specific type;Title;Author;Author id;text;Created;Added to system;Context;Link to the source;Domain;Sentiment;Sentiment points;Domain group;quality points;Tag;Keywords;Gender;Project name;field20;influenceScore;comments;views;shares;wow;love;like;haha;sad;angry;thankful;uniqueVievs;fans;retweet;favs;hearts;likes;dislikes;followers;Geolocation;Language;Country;Rating;Thread ID;text_cleaned;tokenizator
twitter_1244700707933970433;1;Tweet;;Fit Twit (@HypoTwitt);9,14774E+17;@DPOstrava Pokud jste si zakoupili časovou jízdenku nebo kupón, teď jste v karanténě a po ní vás propustí, můžete požádat o vrácení poměrné části nevyužitého kuponu za poplatek 100,-Kč na předprodeji dopravce, který kupon prodal. Na osobní schůzce se domluvte předem. Tohle není apríl !!!;30.03.2020 20:59;30.03.2020 22:23;reply_1240986743333158912;https://twitter.com/HypoTwitt/statuses/1244700707933970433;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;u;DPOstrava;;4;0;0;;0;0;0;0;0;0;0;;;0;0;;;;492;;cs;;;twitter_1240986743333158912;@DPOstrava Pokud jste si zakoupili casovou jizdenku nebo kupon, ted jste v karantene a po ni vas propusti, muzete pozadat o vraceni pomerne casti nevyuziteho kuponu za poplatek 100,-Kc na predprodeji dopravce, ktery kupon prodal. Na osobni schuzce se domluvte predem. Tohle neni april !!!;dpostrava, pokud, jste, si, zakoupili, casovou, jizdenku, nebo, kupon, ted, jste, karantene, po, ni, vas, propusti, muzete, pozadat, vraceni, pomerne, casti, nevyuziteho, kuponu, za, poplatek, kc, na, predprodeji, dopravce, ktery, kupon, prodal, na, osobni, schuzce, se, domluvte, predem, tohle, neni, april
twitter_1245086149024104448;1;Tweet;;Lukin (@l_u_k_i_n);1,23493E+18;@ostravskykritik @DPOstrava To je jednoduchý, aby jim do vozu nenastoupil koronavirus 😆;31.03.2020 22:30;01.04.2020 12:08;reply_1245053271238152194;https://twitter.com/l_u_k_i_n/statuses/1245086149024104448;twitter.com;POSITIVE;13;Twitter;;;@DPOstrava;u;DPOstrava;;1;0;0;;0;0;0;0;0;0;0;;;0;0;;;;1;;cs;;;twitter_1245053271238152194;@ostravskykritik @DPOstrava To je jednoduchy, aby jim do vozu nenastoupil koronavirus 😆;ostravskykritik, dpostrava, to, je, jednoduchy, aby, jim, do, vozu, nenastoupil, koronavirus
twitter_1250497206815162373;-1;Tweet;;Tramvaják pražský (@Tramvajak_Praha);1,02685E+18;@Burak_OV @DPOstrava @Ostrava_cz Mé srdce tíhne (poněkud netypicky) k těm zadním dvěma. Nebyl by obrázek? 🙂 A to sedmikilo máte 731, 732 nebo snad 741?;15.04.2020 20:52;16.04.2020 1:06;reply_1250495487347654656;https://twitter.com/Tramvajak_Praha/statuses/1250497206815162373;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;u;DPOstrava;;6;0;0;;0;0;0;0;0;0;0;;;0;0;;;;6392;;cs;cz;;twitter_1250495487347654656;@Burak_OV @DPOstrava @Ostrava_cz Me srdce tihne (ponekud netypicky) k tem zadnim dvema. Nebyl by obrazek? 🙂 A to sedmikilo mate 731, 732 nebo snad 741?;burak, ov, dpostrava, ostrava, cz, me, srdce, tihne, ponekud, netypicky, tem, zadnim, dvema, nebyl, by, obrazek, to, sedmikilo, mate, nebo, snad
twitter_1250500922779762689;3;Tweet;;Alka a tramvaje (@alkaatramvaje);1,15622E+18;@Burak_OV @DPOstrava @Ostrava_cz Tak to je boží fotka, stejně jako ten první autobus. 😍;15.04.2020 21:07;16.04.2020 1:06;reply_1250495487347654656;https://twitter.com/alkaatramvaje/statuses/1250500922779762689;twitter.com;POSITIVE;4;Twitter;;;@DPOstrava;u;DPOstrava;;5;0;0;;0;0;0;0;0;0;0;;;0;1;;;;1348;;cs;cz;;twitter_1250495487347654656;@Burak_OV @DPOstrava @Ostrava_cz Tak to je bozi fotka, stejne jako ten prvni autobus. 😍;burak, ov, dpostrava, ostrava, cz, tak, to, je, bozi, fotka, stejne, jako, ten, prvni, autobus
twitter_1250501405393158145;2;Tweet;;Tramvaják pražský (@Tramvajak_Praha);1,02685E+18;"@Burak_OV @DPOstrava @Ostrava_cz Krása! Jak ten Ikarus 280.10, tak ten atmosférák. Jak mi to připomíná mládí, tak ani nevím, kterým z těch strojů bych se svezl radši.

Škoda že v rodném Ústí mají historii tradičně na salámu a nepodařilo se zachovat zatím nic (jen hnijí 14Tr a dvě 15Tr na palouku za vozovnou).";15.04.2020 21:09;16.04.2020 1:06;reply_1250500063211786240;https://twitter.com/Tramvajak_Praha/statuses/1250501405393158145;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;u;DPOstrava;;6;0;0;;0;0;0;0;0;0;0;;;0;2;;;;6392;;cs;cz;;twitter_1250495487347654656;"@Burak_OV @DPOstrava @Ostrava_cz Krasa! Jak ten Ikarus 280.10, tak ten atmosferak. Jak mi to pripomina mladi, tak ani nevim, kterym z tech stroju bych se svezl radsi.

Skoda ze v rodnem Usti maji historii tradicne na salamu a nepodarilo se zachovat zatim nic (jen hniji 14Tr a dve 15Tr na palouku za vozovnou).";burak, ov, dpostrava, ostrava, cz, krasa, jak, ten, ikarus, tak, ten, atmosferak, jak, mi, to, pripomina, mladi, tak, ani, nevim, kterym, tech, stroju, bych, se, svezl, radsi, skoda, ze, rodnem, usti, maji, historii, tradicne, na, salamu, nepodarilo, se, zachovat, zatim, nic, jen, hniji, tr, dve, tr, na, palouku, za, vozovnou
twitter_1250707247723921409;-2;Tweet;;Události Ostrava (@UdalostiOstrava);7,98486E+17;.@DPOstrava chystá postupný návrat k běžnému provozu. Tento týden už na některých tramvajových linkách zrušil kapacitní omezení, 1. května na všech tramvajových linkách obnoví provoz a 7. května provoz na většině autobusových linek. Od 4. května znovu otevře všechny své prodejny. https://pic.twitter.com/7ZToD69Atf;16.04.2020 10:46;16.04.2020 13:29;;https://twitter.com/UdalostiOstrava/statuses/1250707247723921409;twitter.com;POSITIVE;11;Twitter;;;@DPOstrava;u;DPOstrava;;6;0;0;;0;0;0;0;0;0;0;;;0;2;;;;4974;;cs;cz;;twitter_1250707247723921409;.@DPOstrava chysta postupny navrat k beznemu provozu. Tento tyden uz na nekterych tramvajovych linkach zrusil kapacitni omezeni, 1. kvetna na vsech tramvajovych linkach obnovi provoz a 7. kvetna provoz na vetsine autobusovych linek. Od 4. kvetna znovu otevre vsechny sve prodejny. https://pic.twitter.com/7ZToD69Atf;dpostrava, chysta, postupny, navrat, beznemu, provozu, tento, tyden, uz, na, nekterych, tramvajovych, linkach, zrusil, kapacitni, omezeni, kvetna, na, vsech, tramvajovych, linkach, obnovi, provoz, kvetna, provoz, na, vetsine, autobusovych, linek, od, kvetna, znovu, otevre, vsechny, sve, prodejny
twitter_1251560434571894785;2;Tweet;;Kristián Mohač (@TheChristsize);471326444;Dokurvit 11, zrušit 6, která byla ideální a nemačkali se tam lidi, takže se teď všichni mačkají ve 2, 57 a 48 už najednou na sebe nečekají. Ještě cca měsíc a půl vydržet, pak už mi bude @DPOstrava ukradená, lepší jezdit v autě a můžou být kampaně na MHD jak chcete.;18.04.2020 19:17;18.04.2020 19:22;;https://twitter.com/TheChristsize/statuses/1251560434571894785;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;m;DPOstrava;;3;0;0;;0;0;0;0;0;0;0;;;0;0;;;;149;;cs;;;twitter_1251560434571894785;Dokurvit 11, zrusit 6, ktera byla idealni a nemackali se tam lidi, takze se ted vsichni mackaji ve 2, 57 a 48 uz najednou na sebe necekaji. Jeste cca mesic a pul vydrzet, pak uz mi bude @DPOstrava ukradena, lepsi jezdit v aute a muzou byt kampane na MHD jak chcete.;dokurvit, zrusit, ktera, byla, idealni, nemackali, se, tam, lidi, takze, se, ted, vsichni, mackaji, ve, uz, najednou, na, sebe, necekaji, jeste, cca, mesic, pul, vydrzet, pak, uz, mi, bude, dpostrava, ukradena, lepsi, jezdit, aute, muzou, byt, ane, na, mhd, jak, chcete
twitter_1251569999476596736;1;Tweet;;Kristián Mohač (@TheChristsize);471326444;"@Burak_OV @DPOstrava Už jsem se dožral dneska. Cestovat MHD, hlavně o víkendu, je vážně za trest. Super je tak pár věcí.
Další věc, jede NAD, proč na to hned nenavazuje tramvaj ale člověk musí čekat dvanáct minut?";18.04.2020 19:55;18.04.2020 22:05;reply_1251568284455010305;https://twitter.com/TheChristsize/statuses/1251569999476596736;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;m;DPOstrava;;3;0;0;;0;0;0;0;0;0;0;;;0;0;;;;149;;cs;;;twitter_1251568284455010305;"@Burak_OV @DPOstrava Uz jsem se dozral dneska. Cestovat MHD, hlavne o vikendu, je vazne za trest. Super je tak par veci.
Dalsi vec, jede NAD, proc na to hned nenavazuje tramvaj ale clovek musi cekat dvanact minut?";burak, ov, dpostrava, uz, jsem, se, dozral, dneska, cestovat, mhd, hlavne, vikendu, je, vazne, za, trest, super, je, tak, par, veci, dalsi, vec, jede, nad, proc, na, to, hned, nenavazuje, tramvaj, ale, clovek, musi, cekat, dvanact, minut
twitter_1251575451836874758;-1;Tweet;;Aleš Burakowski (@Burak_OV);598213546;@TheChristsize @DPOstrava Protože ty NAD jezdí za více linek, a není možné tedy aby jezdil za každou tramvaj...;18.04.2020 20:16;19.04.2020 2:08;reply_1251569999476596736;https://twitter.com/Burak_OV/statuses/1251575451836874758;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;u;DPOstrava;;5;0;0;;0;0;0;0;0;0;0;;;0;1;;;;850;;cs;cz;;twitter_1251568284455010305;@TheChristsize @DPOstrava Protoze ty NAD jezdi za vice linek, a neni mozne tedy aby jezdil za kazdou tramvaj...;thechristsize, dpostrava, protoze, ty, nad, jezdi, za, vice, linek, neni, mozne, tedy, aby, jezdil, za, kazdou, tramvaj
twitter_1251786271422386178;1;Tweet;;Kristián Mohač (@TheChristsize);471326444;@Burak_OV @DPOstrava Za dvě linky a není možno to zkorigovat tak ať to na sebe navazuje? Dobrá no...;19.04.2020 10:14;08.04.2021 11:32;reply_1251575451836874758;https://twitter.com/TheChristsize/statuses/1251786271422386178;twitter.com;NEUTRAL;0;Twitter;;;@DPOstrava;m;DPOstrava;;3;0;0;;0;0;0;0;0;0;0;;;0;0;;;;149;;cs;;;twitter_1251560434571894785;@Burak_OV @DPOstrava Za dve linky a neni mozno to zkorigovat tak at to na sebe navazuje? Dobra no...;burak, ov, dpostrava, za, dve, linky, neni, mozno, to, zkorigovat, tak, at, to, na, sebe, navazuje, dobra, no
