stop_name,mainTrafficType,lat,lon
Ústřední hřbitov,,49.170741,16.597834
Strážní,,49.178207,16.603976
ÚAN Zvonařka,,49.185364,16.616151
Strážní,,49.178477,16.603646
Ústřední hřbitov,,49.170744,16.597612
ÚAN Zvonařka,,49.185364,16.616151
ÚAN Zvonařka,,49.185364,16.616151
ÚAN Zvonařka,,49.185364,16.616151
Novomoravanská,,49.153104,16.600346
Moravanské lány,,49.149585,16.601004
Moravanská,,49.142887,16.602097
Moravanská,,49.142614,16.603006
Moravanské lány,,49.149305,16.601813
Ořechovská,,49.156124,16.600676
Ústřední hřbitov,,49.171604,16.597316
Tržní,,49.189407,16.629972
ÚAN Zvonařka,,49.185364,16.616151
Tržní,,49.189342,16.630314
"Tuřany, smyčka",,49.142326,16.666375
Hanácká,,49.146706,16.667371
Ivanovické náměstí,,49.153629,16.653755
Ráječek,,49.161397,16.637387
Mariánské náměstí,,49.177094,16.621935
Konopná,,49.179332,16.621811
ÚAN Zvonařka,,49.185364,16.616151
Faměrovo náměstí,,49.176954,16.640512
Škola Charbulova,,49.18111,16.63826
Psychiatrická nemocnice,,49.185039,16.636538
Jiránkova,,49.187576,16.633483
Hladíkova,,49.187865,16.625741
Autobusové nádraží,,49.186909,16.617974
Úzká,,49.189244,16.613733
Úzká,,49.189107,16.613266
Opuštěná,,49.185245,16.613024
Autobusové nádraží,,49.186887,16.618479
Hladíkova,,49.187682,16.625353
Jiránkova,,49.187495,16.633494
Psychiatrická nemocnice,,49.185089,16.636321
Škola Charbulova,,49.182496,16.637572
Faměrovo náměstí,,49.176788,16.64042
ÚAN Zvonařka,,49.185364,16.616151
ÚAN Zvonařka,,49.185364,16.616151
Černovičky,,49.183143,16.669108
"Slatina, sídliště",,49.182195,16.690725
"Slatina, sídliště",,49.18229,16.690089
Černovičky,,49.183555,16.666764
ÚAN Zvonařka,,49.185364,16.616151
ÚAN Zvonařka,,49.185364,16.616151
Konopná,,49.180126,16.621339
Komárov,,49.17444,16.622448
Ráječek,,49.160802,16.638242
Ivanovické náměstí,,49.153066,16.653791
Hanácká,,49.146163,16.665975
"Tuřany, smyčka",,49.141407,16.667828
ÚAN Zvonařka,,49.185364,16.616151
ÚAN Zvonařka,,49.185475,16.617567
Železniční,,49.18274,16.619609
Hněvkovského,,49.169807,16.625991
Popelova,,49.156621,16.646516
Glocova,,49.151074,16.659518
Revoluční,,49.149426,16.663085
Hanácká,,49.146954,16.667509
Chrlická,,49.144276,16.66513
Sokolnická,,49.131372,16.684457
Sokolnická,,49.131434,16.684472
Chrlická,,49.143983,16.665097
Revoluční,,49.150097,16.661811
Glocova,,49.151351,16.659085
Popelova,,49.156919,16.646204
Hněvkovského,,49.169618,16.626335
Sazenice,,49.172877,16.623824
Železniční,,49.183322,16.619338
Hlavní nádraží,,49.19035,16.612342
"Chrlice, nádraží",,49.132031,16.657232
"Chrlice, nádraží",,49.132031,16.657232
Hlavní nádraží,,49.19035,16.612342
"Židenice, nádraží",,49.204282,16.636042
"Židenice, nádraží",,49.204282,16.636042
"Královo Pole, nádraží",,49.231051,16.596651
"Královo Pole, nádraží",,49.231051,16.596651
Dolní nádraží,,49.183247,16.616067
Hlavní nádraží,,49.189976,16.610222
Hlavní nádraží,,49.189976,16.610222
"Lesná, nádraží",,49.220432,16.627505
"Lesná, nádraží",,49.220432,16.627505
Brno-Horní Heršpice,,49.167404,16.60686
Brno-Horní Heršpice,,49.167404,16.60686
"Řečkovice, nádraží",,49.250794,16.590446
"Řečkovice, nádraží",,49.250794,16.590446
Brno-Starý Lískovec,,49.162216,16.570659
Brno-Starý Lískovec,,49.162216,16.570659
"Slatina, nádraží",,49.169478,16.682148
"Slatina, nádraží",,49.169478,16.682148
Brno-Černovice,,49.188984,16.631233
Brno-Černovice,,49.188984,16.631233
Podolská,,49.20311,16.713363
Velatická,,49.204666,16.707253
Macháčkova,,49.206174,16.701931
Náměstí Karla IV.,,49.206991,16.695508
Mifkova,,49.20716,16.692152
Jírova,,49.209179,16.688685
Jírova,,49.209099,16.688056
Náměstí Karla IV.,,49.206713,16.694241
Macháčkova,,49.206052,16.70193
Velatická,,49.204129,16.708116
Podolská,,49.203029,16.714223
"Dvorska, smyčka",,49.143433,16.706723
Vlčkova,,49.141158,16.70137
Pratecká,,49.146305,16.681206
Vítězná,,49.147316,16.670949
Hanácká,,49.147804,16.66765
Holásecká,,49.147496,16.661062
Rolencova,,49.145353,16.655599
Holásky,,49.143524,16.650636
V aleji,,49.148,16.648573
Prodloužená,,49.152176,16.647669
ÚAN Zvonařka,,49.185364,16.616151
Úzká,,49.188863,16.613326
Úzká,,49.189068,16.613933
Autobusové nádraží,,49.185873,16.61787
Prodloužená,,49.151349,16.647722
V aleji,,49.147687,16.648637
Holásky,,49.143624,16.650395
Rolencova,,49.145069,16.655039
Holásecká,,49.147689,16.661673
Hanácká,,49.147863,16.666583
Vítězná,,49.146909,16.673259
Pratecká,,49.146239,16.681655
Vlčkova,,49.14097,16.7012
"Dvorska, smyčka",,49.143478,16.708414
Zetor - smyčka,,49.199463,16.67024
Zvonařka,,49.18754,16.620139
Mariánské údolí,,49.203331,16.716449
Mariánské údolí,,49.20332,16.71587
Velká Klajdovka,,49.217049,16.681004
Strnadova,,49.205821,16.668465
Prušánecká,,49.209503,16.663369
