stop_name,mainTrafficType,lat,lon
Anglické nábřeží,,49.74571991,13.38265038
Anglické nábřeží,,49.7456398,13.38265991
Anglické nábřeží,,49.74654007,13.38206959
Anglické nábřeží,,49.74637985,13.38249969
Západočeská univerzita,,49.72306061,13.35076046
Západočeská univerzita,,49.72293091,13.35216999
Bílá Hora,,49.77587891,13.40902996
Bílá Hora,,49.775977978,13.4090503255
Bolevec,,49.78395081,13.38346958
Bolevec,,49.78366852,13.3831501
Bolevec,,49.78371811,13.38348961
Bolevec,,49.78379059,13.38376045
U Ježíška,,49.74185181,13.38461018
U Ježíška,,49.74156189,13.38449955
Vltava,,49.7263298,13.33813953
Vltava,,49.72624969,13.33808994
Sídliště Bory,,49.72042084,13.37403965
Sídliště Bory,,49.7204593067,13.373520019
Věznice Bory,,49.721241,13.36052036
Věznice Bory,,49.7223587,13.36168003
Božkov,,49.73118973,13.4211998
Božkov,,49.73088837,13.42088032
Božkov,,49.73117828,13.42119026
Brněnská,,49.76263046,13.35711956
Brněnská,,49.76335144,13.35575008
Brojova,,49.73059082,13.40657997
Brojova,,49.73040009,13.40692997
Bručná,,49.71250153,13.41119003
Bručná,,49.71363831,13.41028023
Amfiteátr,,49.76190186,13.35982037
Amfiteátr,,49.76226044,13.35956955
Bukovec,,49.76919174,13.4402504
Bukovec,,49.76914978,13.44042015
CAN Skvrňanská,,49.74761963,13.36308956
CAN Skvrňanská,,49.74771118,13.36365986
Nádraží Slovany,,49.73519897,13.40489006
Nádraží Slovany,,49.73516083,13.40435028
Nádraží Slovany,,49.73603058,13.40484047
Nádraží Slovany,,49.73500061,13.4060297
Čechurov,,49.70883942,13.4144001
Čechurov,,49.7100296,13.41378975
Čechurov,,49.70935059,13.41450024
Černice,,49.69559097,13.41808033
Černice,,49.69562912,13.41816998
Černice,,49.69459152,13.41950989
K Plzenci,,49.6991509974,13.4178738564
K Plzenci,,49.6992039515,13.4176014639
U Staré Kovárny,,49.69718933,13.41664028
U Staré Kovárny,,49.69742966,13.41670036
Červený Hrádek,,49.7580986,13.45880032
Červený Hrádek,,49.75682068,13.45728016
Čisticí stanice,,49.76210022,13.40367031
Čisticí stanice,,49.76245117,13.40336037
Hasičská stanice,,49.72005081,13.41668034
Hasičská stanice,,49.71802902,13.41699028
Poliklinika Doubravka,,49.75374985,13.41654015
Poliklinika Doubravka,,49.75508118,13.41851997
Poliklinika Doubravka,,49.75498962,13.41720963
Divadlo J. K. Tyla,,49.74546814,13.37008953
Divadlo J. K. Tyla,,49.74528885,13.37113953
Dobrovského,,49.73480988,13.37119961
Dobrovského,,49.73493958,13.37113953
Dobrovského,,49.7354393,13.37043953
Dobrovského,,49.73429871,13.37024021
Na Dlouhých,,49.75350952,13.42275047
Na Dlouhých,,49.75334167,13.42253971
Doubravka,,49.75862885,13.42424965
Doubravka,,49.7591095,13.42496014
Doubravka,,49.75883102,13.42502022
Doubravka,,49.75876999,13.42440033
Doubravka,,49.75915146,13.42339993
Doubravka,,49.758461,13.42387009
Révová,,49.72111893,13.38551044
Révová,,49.72134018,13.38560009
Doudlevce ETZ,,49.72705841,13.38628006
Doudlevce ETZ,,49.72777939,13.38469028
Poliklinika Slovany,,49.73141098,13.40097046
Poliklinika Slovany,,49.73115921,13.40091991
Dvořákova,,49.72842026,13.36849976
Dvořákova,,49.7276001,13.36740971
Nemocnice Bory,,49.73133087,13.3755703
Nemocnice Bory,,49.7328186,13.37502003
Nemocnice Lochotín,,49.76409912,13.37975979
Nemocnice Lochotín,,49.76412964,13.37954998
Fialková,,49.7056584606,13.4156588218
Fialková,,49.7059645353,13.4157876826
Gambrinus,,49.7477684,13.39435959
Gambrinus,,49.74794006,13.39700985
Plochá dráha,,49.72304153,13.34210014
Plochá dráha,,49.72293854,13.34424019
Goethova,,49.74367905,13.37849998
Goethova,,49.7437706,13.37860966
Goethova,,49.74401093,13.37847042
Bazén Slovany,,49.73701096,13.39591026
Bazén Slovany,,49.73620987,13.39667034
Habrmannovo nám.,,49.75735855,13.42092037
Habrmannovo nám.,,49.75801086,13.42154026
Hradiště,,49.70920944,13.39482975
Hradiště,,49.70923996,13.39492989
Hřbitovní,,49.74720001,13.4263401
Hřbitovní,,49.7469101,13.42640972
K Řečišti,,49.71006012,13.39766026
K Řečišti,,49.71063995,13.39894962
Husův park,,49.75711823,13.41285038
Husův park,,49.75685883,13.4134798
Chaty,,49.71863937,13.34173965
Chaty,,49.71841812,13.34158993
Chlumek,,49.77463913,13.42753029
Chlumek,,49.77415848,13.42910004
U Bouzků,,49.7542305,13.35317993
U Bouzků,,49.75391006,13.35416031
Školy Vejprnická,,49.74235916,13.33426952
Školy Vejprnická,,49.74237061,13.33473015
Školy Vejprnická,,49.74224854,13.33333969
Školy Vejprnická,,49.74203873,13.33320045
Jasmínová,,49.72243881,13.41361046
Jasmínová,,49.72219086,13.41366005
Teplárna,,49.75164032,13.40219975
Teplárna,,49.75267029,13.4025898
Jatky,,49.75608826,13.40371037
Jatky,,49.75709915,13.40507984
Jedlová,,49.73596954,13.38945961
Jedlová,,49.73542023,13.38984966
Jižní Předměstí,,49.73936081,13.36662006
Jižní Předměstí,,49.74118042,13.36715984
Jižní Předměstí,,49.7399860973,13.3659654844
Jižní Předměstí,,49.73976898,13.36760044
K Nemocnici,,49.76583099,13.37395954
K Nemocnici,,49.76581955,13.37395
K Prokopávce,,49.78052902,13.38869953
Ke Špitálskému lesu,,49.75009155,13.41833019
Ke Špitálskému lesu,,49.75033188,13.41878033
Kalikova,,49.74893188,13.36596012
Kalikova,,49.74908829,13.36594009
U Darebáka,,49.72425079,13.35750008
U Darebáka,,49.72348022,13.35643959
Ke Karlovu,,49.73155975,13.3468399
Ke Karlovu,,49.73178864,13.34733009
K Dráze,,49.71630096,13.41730976
K Dráze,,49.71416855,13.41701031
Košutka,,49.78224182,13.37306976
Košutka,,49.78240967,13.3724699
Košutka,,49.78165817,13.37135983
Košutka,,49.78171921,13.3714304
Sídliště Košutka,,49.77795029,13.3549099
Sídliště Košutka,,49.77746964,13.35453033
Sídliště Košutka,,49.77761078,13.35459995
Sídliště Košutka,,49.77764893,13.35492039
Koterov,,49.71390915,13.42827034
Koterov,,49.71374893,13.42870045
Koterov,,49.71458817,13.42741966
Kovošrot,,49.75952911,13.40602016
Kovošrot,,49.75991821,13.40612984
Radnice Slovany,,49.73218155,13.40252018
Radnice Slovany,,49.73194885,13.40287018
Radnice Slovany,,49.73223877,13.40256023
Radnice Slovany,,49.73200989,13.40254974
Křimice,,49.75337982,13.30235958
Křimice,,49.75336838,13.30222988
Chebská,,49.75617981,13.30659008
Chebská,,49.75634003,13.30646038
Zámecké náměstí,,49.75878143,13.30755997
Zámecké náměstí,,49.75862122,13.30760002
Přední Skvrňany,,49.74552917,13.35101986
Přední Skvrňany,,49.74523926,13.35004044
Letná,,49.7482157533,13.4105255784
Letná,,49.74789047,13.41096973
Liliová,,49.7334404,13.39173985
Liliová,,49.73315811,13.39190006
Přeučilova,,49.70038986,13.35404015
Přeučilova,,49.70077896,13.35429001
Hokejová hala,,49.77494812,13.3544302
Hokejová hala,,49.77452087,13.35358047
Lobzy,,49.7421951084,13.4118673459
Lobzy,,49.74217987,13.41119957
Karlov,,49.7349205,13.34974957
Karlov,,49.7350502,13.35083008
Karlov,,49.7357833158,13.3511747155
Majakovského,,49.77135849,13.37695026
Majakovského,,49.77106857,13.37674046
Majakovského,,49.77175903,13.37699986
Majakovského,,49.77087021,13.37681961
Malesická,,49.74456024,13.34626007
Malesická,,49.74462128,13.34673977
Malesická,,49.7445488,13.34560966
Malesická,,49.74449158,13.3466301
Vodárna,,49.72504044,13.39157009
Vodárna,,49.72531128,13.39095974
Malý Bolevec,,49.77529907,13.38887024
Malý Bolevec,,49.77619171,13.38930035
Masarykovo náměstí,,49.74148178,13.37160969
Masarykovo náměstí,,49.74110031,13.37148952
Mikulášské náměstí,,49.73825073,13.38749027
Mikulášské náměstí,,49.73762131,13.38788986
Mikulášské náměstí,,49.73933029,13.38677979
Mrakodrap,,49.74348831,13.37685013
Mrakodrap,,49.74332047,13.37738991
Mrakodrap,,49.74332047,13.37738991
Mozartova,,49.76932144,13.37559032
Mozartova,,49.76834869,13.37485981
Ke Kukačce,,49.74990082,13.41467953
Ke Kukačce,,49.74975967,13.41508007
Lochotínský pavilón,,49.76200104,13.36446953
Bolevecký rybník,,49.7711792,13.39741039
Bolevecký rybník,,49.7713089,13.39694023
Na Rozcestí,,49.75625992,13.45176983
Na Rozcestí,,49.75629044,13.45170975
Na Spojce,,49.73303986,13.41479969
Na Spojce,,49.73308945,13.41413975
Žlutická,,49.77569962,13.3603096
Žlutická,,49.77555847,13.36260986
Nám. Generála Píky,,49.73387146,13.39925003
Nám. Generála Píky,,49.73361969,13.39949989
Náměstí Míru,,49.73122025,13.37005043
Náměstí Míru,,49.73078918,13.36999035
Náměstí Míru,,49.7299881,13.36886024
Náměstí Republiky,,49.7480011,13.37924957
Náměstí Republiky,,49.74642181,13.37757015
Náměstí Republiky,,49.74745941,13.37856007
Náměstí Republiky,,49.74666977,13.37812996
Nová Hospoda,,49.73109818,13.31317997
Nová Hospoda,,49.73051834,13.3137598
Olšová,,49.73025131,13.39468002
Olšová,,49.72985077,13.39484978
Panasonic,,49.72975922,13.33722973
Panasonic,,49.7299118,13.33705997
Papírna Bukovec,,49.7750206,13.42109966
Papírna Bukovec,,49.77500916,13.42121029
Petřínská,,49.73337173,13.41012001
Petřínská,,49.73345947,13.40970993
Pietas,,49.74802017,13.41504955
Pietas,,49.74768829,13.41466045
Plzeňka,,49.77872849,13.36970043
Plzeňka,,49.77820969,13.36921978
Nad Úhlavou,,49.69251251,13.40161133
Nad Úhlavou,,49.69251251,13.40161133
Pod Záhorskem,,49.75786972,13.37209034
Pod Záhorskem,,49.75741959,13.37265015
Prokopova,,49.74248886,13.37899971
Průmyslová,,49.72303009,13.38574982
Průmyslová,,49.72383881,13.38599968
NC Borská pole,,49.73080826,13.34527016
NC Borská pole,,49.73059845,13.3448
Otýlie Beníškové,,49.75279999,13.37839985
Otýlie Beníškové,,49.75215912,13.37872982
Podhájí,,49.69036102,13.40242958
Podhájí,,49.69036102,13.40242958
Rolnické náměstí,,49.73756027,13.41030979
Rolnické náměstí,,49.73733139,13.40989017
Rondel,,49.7555809,13.37547016
Rondel,,49.75391006,13.3751297
Rondel,,49.7537384,13.37742043
K Rozvodně,,49.75394821,13.31501007
K Rozvodně,,49.75469971,13.3126297
Sady Pětatřicátníků,,49.74769974,13.37413979
Sady Pětatřicátníků,,49.74758911,13.37349033
Sady Pětatřicátníků,,49.74792862,13.37397957
Sady Pětatřicátníků,,49.74726868,13.37359047
Samaritská,,49.7289505,13.38253021
Severka,,49.77629852,13.36795998
Severka,,49.77457809,13.36672974
Severka,,49.77561951,13.36614037
Severka,,49.77471161,13.36655998
Severka,,49.77528,13.36859035
Severka,,49.77605057,13.36808968
Skvrňany,,49.74581146,13.32071018
Skvrňany,,49.74547958,13.32056999
Nádraží Skvrňany,,49.74227905,13.34479046
Nádraží Skvrňany,,49.74261093,13.34696007
Sladová,,49.73023987,13.40781021
Sladová,,49.72974014,13.40898037
U Duhy,,49.73904037,13.39089966
U Duhy,,49.73900986,13.39270973
U Duhy,,49.73992157,13.39146042
U Duhy,,49.73984146,13.39241982
Petrohrad,,49.7416687,13.39490032
Petrohrad,,49.74148941,13.39472008
Vozovna Slovany,,49.72602081,13.40482044
Vozovna Slovany,,49.72584915,13.4048996
Slovanské údolí,,49.74320984,13.33893013
Slovanské údolí,,49.74348068,13.34039021
Hlavní pošta,,49.74832916,13.37491989
Sokolovská,,49.77196121,13.36493969
Sokolovská,,49.7714119,13.36452961
Sokolovská,,49.77040863,13.36408997
Sokolovská,,49.77025986,13.36351013
Sokolská,,49.74394989,13.41187
Sokolská,,49.74457932,13.41152
Stadion Lokomotivy,,49.73857117,13.40149975
Stadion Lokomotivy,,49.73794937,13.40229988
Pekárna,,49.72370911,13.41526985
Pekárna,,49.72399902,13.41512012
Stavební stroje,,49.7491684,13.40237999
Stavební stroje,,49.7493782,13.40268993
Světovar,,49.72761154,13.41263962
