stop_name	mainTrafficType	lat	lon
Albertov	tram	50.0672455	14.421648
Ametystová	bus	49.9882	14.3622169
Amforová	bus	50.04185	14.3272839
Anděl	metroB	50.07193	14.4036312
Antala Staška	bus	50.0416946	14.4443111
Apolinářská	bus	50.07151	14.42648
Arbesovo náměstí	tram	50.07625	14.4042015
Arena Libeň jih	tram	50.1031036	14.4933529
Argentinská	bus	50.1036758	14.4434347
Archeologická	bus	50.0435677	14.3368835
Avia Letňany	bus	50.14186	14.5154915
Baba I	bus	49.9979324	14.4150791
Baba II	bus	49.99959	14.41526
Bachova	bus	50.0311852	14.5093145
Bakovská	bus	50.13508	14.5498142
Balabenka	tram	50.1047554	14.4828053
Balkán	bus	50.0954	14.4962654
Baně	bus	49.9525757	14.3790865
Barrandovská	bus	50.03153	14.3958941
Bártlova	bus	50.1190147	14.6328907
Barvy a laky	bus	50.06549	14.5364933
Basilejské náměstí	bus	50.0870628	14.4705544
Bašteckého	bus	50.0399132	14.3363791
Baterie	tram	50.092392	14.3698292
Bazar	bus	50.098793	14.671629
Bazén Hloubětín	bus	50.10452	14.5357914
Bazovského	bus	50.06735	14.3079672
Bečovská	bus	50.04282	14.5870714
Běchovice	bus	50.08086	14.6176043
Belárie	tram	50.01361	14.4018812
Bělocerkevská	bus	50.0726051	14.4702988
Benice	bus	50.01357	14.6049852
Benkova	bus	50.03793	14.4990969
Bertramka	tram	50.07223	14.3932905
Betáň	bus	50.0071831	14.4796171
Betonárka	bus	50.0367126	14.5747881
Bílá Hora	tram	50.0755463	14.3227892
Bílá labuť	tram	50.090168	14.4354715
Bílenecké náměstí	bus	50.14964	14.442481
Bílý Beránek	bus	50.0612	14.3104906
Biskupcova	tram	50.0885429	14.4687958
Blatiny	tram	50.0657043	14.3036213
Blatnická	bus	50.0643	14.2705
Blatov	bus	50.0785866	14.646183
Blatov sever	bus	50.08279	14.6451569
Blažimská	bus	50.0425835	14.49285
Bludovická	bus	50.135994	14.5113134
Bohdalec	bus	50.06055	14.4695005
Bohdalecká	bus	50.0566177	14.4738007
Bohemians	tram	50.0662041	14.4541845
Bohnické údolí	bus	50.1357231	14.4120331
Bojasova	bus	50.13259	14.4624643
Boletická	bus	50.1327324	14.5137024
Bolevecká	bus	50.0430336	14.5550671
Boloňská	bus	50.047184	14.5557
Bořislavka	metroA	50.0985222	14.36455
Botanická zahrada	tram	50.0705	14.4196062
Botanická zahrada Malešice	bus	50.0886726	14.5138617
Botanická zahrada Troja	bus	50.11897	14.4099007
Branické náměstí	bus	50.0347252	14.4140663
Braunova	tram	50.061882	14.4025393
Brechtova	bus	50.0355339	14.5172462
Breitcetlova	bus	50.10606	14.5749159
Brodecká	bus	50.0887642	14.3233891
Brodského	bus	50.03855	14.5032673
Brumlovka	bus	50.0480957	14.45506
Bruselská	tram	50.07313	14.4333019
Brusnice	tram	50.0929756	14.3917332
Bryksova	bus	50.1022835	14.5790424
Břeclavská	bus	50.0957832	14.54606
Břetislavka	bus	50.12324	14.389533
Břevnovská	bus	50.0856628	14.3650436
Břevnovský klášter	tram	50.08318	14.35901
Březiněves	bus	50.1646919	14.4838972
